2 10 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 10 0000011
2 10 10111100011100100011100100011111
2 10 1100011110110000
10 2 -409600
10 2 -0
10 2 99909
10 2 -001225
2 16 0000001111111111000000000
2 16 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
2 16 1001110011101111
2 16 100001110100001000111011100100111
16 2 2C9D8CA4AB8321
16 2 25C47B
16 2 47B85F
16 2 FFF98AC0000
10 16 99999
10 16 -00009999
10 16 -9900101514
10 16 -0
16 10 FFFFAAAA
16 10 FFFFFFFFFFFFFFFFFFFFFFFFFFFFF800
16 10 FFFFFFFFFFFFFFFFFFFC72815B44EBC5
16 10 AB010000
2 101 + 010
2 000 - 111
2 10010111 * 0100011111111101
2 1011010001001111111 / 01010000100000010000
2 11111100001010101 ^ 0000011010101111
2 0 | 10
2 ~ 111111011
2 1111 & 00001
2 10010101 << 9
2 1011110011100101 >> 5
10 2 + -2
10 -5 + 5
10 -5 + -6
10 -1 - -2
10 -7 - 3
10 89038132908123 - 712831278123712343324
10 0 * -1
10 -482 * 8308208230832
10 -178329 * -0892831
10 -0127312793189132891238 / 7812381278127
10 000000 / -1
10 839812 / -1223
10 -1 / 0
10 -0011132 / -9123
10 -13 / 13223
10 1 << 126
10 1 << 127
16 A + FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
16 0AB258FED - 3AFBCE85
16 ABC * DEF
16 AFFC / B
16 AFC ^ FAC
16 8A7EF | 021AB
16 ~ BCF8800
16 AC & B1
16 D1E6F << 3
16 E78FAD >> 7
